Topic,Count,Name
-1,30726,"-1_Positive reviews of a restaurant with good food, service, and prices___"
0,2943,0_Unsatisfactory dining experiences with poor service and food quality.___
1,2400,1_Best pintxo bars in San Sebastián___
2,2108,2_Bar de Tapas y Pintxos en la parte vieja de Donosti con gran variedad de opciones y buen ambiente.___
3,1846,"3_""Coffee and Breakfast Places""___"
4,1825,4_Pizza Quality and Reviews___
5,1676,5_Recommendations for great places to eat with excellent food and a nice atmosphere___
6,1374,6_Positive feedback on staff and food in a restaurant___
7,1288,7_Recommendations for high-quality seafood and fish dishes___
8,1217,8_Quality and prices - good or bad?___
9,1078,9_Best burgers and sandwiches in Donosti's burger joint at a great price___
10,1022,10_Agradable lugar para tomar pinchos en una gran ciudad.___
11,992,11_High-Quality Restaurant with Excellent Service and Cozy Atmosphere at an Affordable Price.___
12,914,12_Evaluating the Quality of Daily Menu with Good Variety and Excellent Service___
13,893,13_Delicious Cheesecake Varieties at Viña's - Reviews and Recommendations.___
14,838,14_Excellent food and service.___
15,827,15_Positive reviews for a great experience and excellent service___
16,801,"16_""Restaurant with vegan and vegetarian options""___"
17,688,17_Traditional Vasque cuisine with excellent quality and friendly service at a great price.___
18,681,18_Selection of excellent wines and delicious pintxos at great prices___
19,665,19_Excellent Food and Service___
20,631,20_Dining experience at a highly recommended restaurant with excellent food and service at a great price.___
21,627,21_Excellent and Friendly Service with Rapid Efficiency___
22,603,22_Beer selection and craft breweries with good food and atmosphere___
23,592,23_Delicious variety of tapas with amazing service and luxurious atmosphere.___
24,502,24_Personal muy amable y excelente calidad de servicio.___
25,459,25_Delicioso Más - Variedad de pinchos y tapas con sabores deliciosos___
26,454,"26_Poor customer service with slow and rude staff, high prices, and overall unpleasant experience___"
27,445,"27_""Ranking of the best tortilla de patatas dishes featuring patatas fritas, cebolla, and other popular tapas""___"
28,416,"28_Delicious and creative pintxos with excellent quality and variety, including amazing anchovy options and great presentation.___"
29,415,29_Pinchos y Tapas Increíbles___
30,414,30_Excellent Customer Service and Delicious Food Variety (based on positive reviews)___
31,399,31_Spanish pinchos (Buenos pinchos)___
32,392,32_Good quality food at reasonable prices___
33,379,33_Delicious desserts and good food___
34,375,34_Beachside location with spectacular ocean views___
35,340,35_Delicious rice dish with lobster in a flavorful broth___
36,338,"36_Excellent food and service with personalized attention and recommendations, suitable for celiacs and worth enduring the noisy atmosphere___"
37,317,37_Italian restaurant with delicious food and great ambiance.___
38,313,"38_Bonitas y amplias terrazas para disfrutar tanto en el interior como en el exterior con excelente servicio, vistas y ubicación.___"
39,310,39_Delicious Tomato Salad with Beef___
40,275,"40_Document Collection of ""Súper"" Keyword Variants and Characteristics___"
41,262,41_Chocolate con Churros - the classic Spanish treat and where to find the best ones___
42,256,42_Excellent Tapas & Treats___
43,255,43_Delicious and Extraordinary Appetizers___
44,244,44_Deliciosos platos con excelente calidad y variedad.___
45,243,45_Siempre genial - descriptions of amazing experiences and flavors___
46,230,46_Multilingual Restaurant Experience___
47,206,47_Quality pork meat and impressive service at Muy Buena Carne___
48,203,48_Mexican food and fusion cuisine in Donostia (San Sebastián)___
49,201,49_Best Pintxos in Donostia___
50,195,50_Agradable terraza con buena comida y vistas al bosque___
51,195,51_Good music and atmosphere in a nice place to dance on Tuesdays___
52,195,52_Product quality and customer service___
53,194,53_Agradable lugar con bueno servicio___
54,188,"54_Recommendations for tasty tapas dishes to try, including gambas gabardina, chuleta croquetas, and raciones.___"
55,187,"55_Evaluating the Quality of Service, Price, and Product___"
56,183,56_Best Value Restaurants in Donostia___
57,182,"57_Excelente tratamiento (assuming that ""trató"" was intended to be ""tratamiento"")___"
58,182,58_Expressing love for something___
59,177,59_Great atmosphere and food options___
60,164,60_Gluten-free options and service with care in a celiac-friendly environment___
61,162,61_Amazing Tortilla Pinchos in Donosti___
62,149,62_Spanish restaurants and tapas in Spain - Best places to eat and enjoy the local ambiance___
63,147,63_Restaurant recommendations for Japanese cuisine and sushi with private tatami rooms.___
64,146,64_Restaurant reviews based on star rating and pricing.___
65,143,65_An excellent experience of pinchos and tapas at De 10 with great service and variety.___
66,143,66_Pet-friendly restaurants with good service and food.___
67,142,67_Buenos pintxos and drinks tradition___
68,140,68_Negative feedback on restaurant's bathroom cleanliness___
69,138,69_Evaluating the quality and cost of food at a restaurant___
70,138,70_Overpriced Coca-Cola and other beverages at a restaurant___
71,135,"71_""The Importance of Attention and Simplicity in Being Very Good""___"
72,131,72_Excellent Food and Service - Customer Will Return___
73,128,"73_Lo Mejor de Donosti - Tapas, Pinchos y Más___"
74,126,74_Food experiences in Donostia/San Sebastián___
75,124,75_Negative reviews and poor treatment in the context of COVID-19.___
76,123,"76_A classic part of Donostiarra's tradition and life - pintxos, history, and culture that never disappoints.___"
77,122,77_Negative experiences at Burger King due to long waits and dirty conditions___
78,120,"78_""Excellent Quality""___"
79,114,79_Variety and Quality of Menu Items and Service___
80,112,"80_Evaluation of quality and pricing in a pleasant and recommended local venue with good location, atmosphere, and tapas.___"
81,111,81_Dining and Views near the Catedral del Buen Pastor___
82,111,82_Best Places to Enjoy Drinks and Food in a Relaxing Atmosphere___
83,110,83_Recommendations for enjoying theater performances along with good food and drinks.___
84,109,"84_Documents related to ""bien"" and ""acuerdo""___"
85,108,85_Food and Drink Variety with Excellent Cocktails and Tapas___
86,107,86_Tips for Avoiding Tourist Traps and Finding Affordable Local Eateries for Foreign Visitors.___
87,107,87_Repeatedly Genial and Fantastic Documents___
88,107,88_Positive reviews about food and staff quality and service.___
89,103,"89_""Classic Donostia - The Best of Old and New Pintxos, Hamburgers, and Churros""___"
90,102,"90_Variety of hot and cold pintxos/tapas, including some spectacular mushroom options.___"
